   FullName,location,price,timestamp
Lais Cornelia,Brew've Been Served,4.17,1/6/2014 7:38
Bramar Mat,Brew've Been Served,9.6,1/6/2014 7:43
Arpa Emile,Hallowed Grounds,16.53,1/6/2014 7:47
Mies Haber Ruscella,Brew've Been Served,4.27,1/6/2014 8:00
Lagos Linda,Brew've Been Served,11.2,1/6/2014 8:16
Coginian Dante,Brew've Been Served,15.39,1/6/2014 8:17
Ribera Anda,Hippokampos,34.03,1/6/2014 13:20
Mies Haber Ruscella,Kalami Kafenion,8.64,1/6/2014 13:28
Lagos Linda,Katerina’s Café,33.54,1/6/2014 13:28
Pantanal Rachel,Hippokampos,36.54,1/6/2014 13:35
Lais Cornelia,Ouzeri Elian,20.74,1/6/2014 13:48
Awelon Varro,Kalami Kafenion,13.08,1/6/2014 14:00
Coginian Dante,Hippokampos,38.25,1/6/2014 13:58
Bramar Mat,Hippokampos,30.88,1/6/2014 14:04
Arpa Emile,Kalami Kafenion,27.4,1/6/2014 14:15
Arpa Emile,Katerina’s Café,26.46,1/6/2014 19:08
Coginian Dante,Frydos Autosupply n' More,80.85,1/6/2014 20:12
Lais Cornelia,Frydos Autosupply n' More,175.87,1/6/2014 20:15
Ribera Anda,Katerina’s Café,28.0,1/6/2014 20:30
Awelon Varro,Hippokampos,24.41,1/6/2014 20:46
Bramar Mat,Katerina’s Café,26.51,1/6/2014 21:12
Lais Cornelia,Brew've Been Served,12.74,1/7/2014 7:31
Arpa Emile,Hallowed Grounds,8.91,1/7/2014 7:37
Awelon Varro,Coffee Shack,16.63,1/7/2014 12:00
Mies Haber Ruscella,Brew've Been Served,4.39,1/7/2014 7:50
Bramar Mat,Brew've Been Served,11.91,1/7/2014 8:00
Coginian Dante,Brew've Been Served,17.4,1/7/2014 7:58
Ribera Anda,Hallowed Grounds,10.33,1/7/2014 7:57
Lagos Linda,Brew've Been Served,15.66,1/7/2014 8:09
Mies Haber Ruscella,Kalami Kafenion,11.64,1/7/2014 13:24
Bramar Mat,Ouzeri Elian,28.37,1/7/2014 13:32
Forluniau Carla,Abila Zacharo,32.4,1/7/2014 13:44
Pantanal Rachel,Gelatogalore,36.5,1/7/2014 13:49
Lagos Linda,Ouzeri Elian,21.85,1/7/2014 13:50
Coginian Dante,Katerina’s Café,37.44,1/7/2014 13:57
Ribera Anda,Gelatogalore,15.4,1/7/2014 13:57
Arpa Emile,Hippokampos,37.57,1/7/2014 14:11
Awelon Varro,Albert's Fine Clothing,78.91,1/7/2014 20:10
Lagos Linda,Katerina’s Café,31.6,1/7/2014 20:18
Lais Cornelia,Guy's Gyros,23.12,1/7/2014 20:34
Ribera Anda,Katerina’s Café,25.54,1/7/2014 20:33
Pantanal Rachel,Ouzeri Elian,20.53,1/7/2014 20:49
Arpa Emile,Hallowed Grounds,5.85,1/8/2014 7:40
Bramar Mat,Brew've Been Served,3.09,1/8/2014 7:42
Pantanal Rachel,Hallowed Grounds,3.9,1/8/2014 7:50
Awelon Varro,Coffee Shack,13.13,1/8/2014 12:00
Mies Haber Ruscella,Brew've Been Served,8.4,1/8/2014 7:58
Coginian Dante,Brew've Been Served,3.92,1/8/2014 8:01
Ribera Anda,Hallowed Grounds,11.63,1/8/2014 7:57
